label,det_rate,n_detected,n_total_ocr,cla,pla,sys_acc,far,frr,n_sys,n_det_fail_sys
1 — No preprocessing (640),100.0,30,30,85.37037037037038,50.0,93.33333333333333,0.0,0.0,30,0
2 — CLAHE only (640),100.0,30,30,82.62962962962963,53.333333333333336,80.0,0.0,0.0,30,0
3 — CLAHE + Deblurring (640),100.0,30,30,82.62962962962963,53.333333333333336,80.0,0.0,0.0,30,0
4 — Full pipeline (640)*,100.0,30,30,82.62962962962963,53.333333333333336,80.0,0.0,0.0,30,0
